app,target,scope,current_role,audit_depth,priority,included_in_this_pack,recommended_next_patch,evidence_privacy_rule,acceptance_gate
Comic Studio,Comic_Studio.html,local learner app,Multi-panel comics with text and images,catalogue-level review,P2,Roadmap only,"Add lesson storyboard template, reading-order/export check and reflection hand-off",Embedded photos/names require explicit review before export,"Panel reorder, text overflow, PDF/PNG export and keyboard tests"
Graph & Data Studio,Graph_Studio.html,local learner/teacher app,Charts and descriptive statistics from tables,source inventory/targeted integration review,P1,Teacher context launcher,"Add dataset provenance, units/uncertainty prompts, accessible data table and evidence sidecar",Do not infer scientific conclusions automatically from a chart,Known-data fixtures for mean/median/range; accessible table; chart export
PDF Studio,PDF_Studio.html,local document app,"Annotate, edit and rearrange PDFs",source inventory/targeted integration review,P1,Teacher context launcher,"Add portfolio manifest, page labels, redaction warning and evidence-reference sidecar",Visual covering is not redaction; personal data requires approved storage,True redaction warning; merge/split fixtures; offline-library fallback; print
Typing Tutor,Typing_Tutor.html,local learner app,Typing speed and accuracy practice,catalogue-level review,P2,Roadmap only,"Add individual local profiles, trend export and lesson targets without competition","Speed score is diagnostic practice data, not qualification evidence by itself",WPM/accuracy fixtures; keyboard layouts; persistence; no leaderboard
Message & Email Studio,Message_Studio.html,local learner app,"Coach clear, polite messages without sending",catalogue-level review,P1,Roadmap only,"Add lesson scenario packs, rubric/self-check hand-off and anonymisation reminder",Never send; discourage real personal details in practice drafts,No network/send controls; copy/export; scenario accessibility; draft clearing
Writing Frames Studio,Writing_Frames.html,local learner app,Scaffolded writing frames and text export,deep source audit,P0,Writing-draft evidence hand-off and shared context,Add lesson-specific frame packs and progressive scaffold fade while preserving learner wording,"Hand-off is a draft artifact, not proof of a criterion","Frame autosave, text stitching, no content loss, hand-off word count/context"
Flashcards & Quiz,Quiz_Studio.html,local learner app,"Deck creation, flashcards and generated quiz",source spot-check,P0,Quiz-result draft hand-off and shared context,"Add named learner session only by explicit teacher mode, lesson/deck IDs and diagnostic misconception summary",Quiz score is diagnostic unless staff maps and reviews it,Scoring/distractor fixtures; no accidental identity; deck migration; hand-off draft
Mind-Map Studio,Mindmap_Studio.html,local learner app,Idea bubbles for planning and revision,catalogue-level review,P2,Roadmap only,"Add lesson prompt, keyboard node editing, outline text alternative and process snapshot hand-off",Mind maps remain learner drafts until reviewed,Node save/load; keyboard traversal; SVG/PNG export; text outline parity
Now / Next Board,NowNext_Board.html,local support app,Calm visual transition schedule,catalogue-level review,P1,Roadmap only,Add named schedule presets and optional shared activity library; keep pupil profiles local and minimal,"Do not log compliance, behaviour or emotional state",Preset restore; offline images; large touch targets; no behavioural history
Feelings Check-in,Feelings_Checkin.html,local wellbeing app,Private self-check and matched strategies,privacy boundary review,P0,Explicitly excluded from teacher workflow bridge,Keep deliberately non-persistent; improve signposting/accessibility only after safeguarding review,"No mood log, roster link, evidence hand-off or analytics",Positive control confirms no persistence/network/launcher; keyboard/screen-reader checks
Regulation Station,Regulation_Station.html,local wellbeing app,"Breathing, grounding, calm sounds and timer",privacy boundary review,P0,Explicitly excluded from teacher workflow bridge,Keep non-recording and non-persistent; add sensory settings without tracking use,"No usage log, evidence hand-off, microphone recording or learner identity",Positive control confirms no persistence/network/launcher; reduced-motion/audio stop
Voxel Frontier,https://madebymatt.uk/voxel/,external app,Voxel sandbox outside this repository,catalogue/external boundary review,P3,No patch in this repository,Define optional lesson challenge/export contract only after auditing the external codebase,Creative play data should not become evidence automatically,Separate repo audit and explicit import contract required
